srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
207631803010001,266.47507154436,-31.250899280424,STAR,0.841,,,STAR,1.0,,,358.0551935558149,-1.2569598398105548,G358.0551-01.2569,266.475087,-31.250901,0.3,0.3,90.0,9.449,9.424,9.382,9.32,0.02,0.026,0.027,0.018,C,46.67,0.8397,30.54,0.7191,20.32,0.5098,12.0,0.1973,00004340,00000240,00008000,00008000,0.047739
207641904010063,265.46458495368,-29.595085077383,GALAXY,0.964,,,GALAXY,0.808,,,359.00873475908463,0.3529284044270323,G359.0087+00.3529,265.464587,-29.595084,0.3,0.3,90.0,12.731,12.619,12.305,,0.045,0.055,0.33,,C,2.27,0.0947,1.611,0.08167,1.376,0.4187,,,00000340,00000600,00000400,,0.007509
207821706010002,266.21498608395,-30.777853517672,GALAXY,0.602,,,,,,,358.34276264701407,-0.8201657505449624,G358.3427-00.8201,266.214962,-30.77784,0.3,0.3,90.0,10.015,9.97,9.897,10.03,0.029,0.044,0.043,0.047,C,27.7,0.7429,18.48,0.7443,12.64,0.5062,6.24,0.2706,00004240,00004000,00000200,00008200,0.088927
208016816010040,267.67417424617,-30.271227624411,GALAXY,0.556,,,STAR,1.0,,,359.42639968451783,-1.6343333047786077,G359.4264-01.6343,267.674197,-30.271233,0.3,0.3,90.0,8.248,8.374,8.221,8.155,0.028,0.036,0.026,0.018,C,141.0,3.618,80.32,2.654,59.21,1.435,35.08,0.5905,00000440,00000000,00008000,00008000,0.073184
208016817010004,267.67694891999,-29.974960997092,QSO,0.421,,,STAR,1.0,,,359.6822856065057,-1.4848321070189885,G359.6822-01.4848,267.676942,-29.974975,0.3,0.3,90.0,11.391,11.42,11.417,11.337,0.136,0.086,0.079,0.096,C,7.798,0.9782,4.857,0.3851,3.119,0.227,1.871,0.1654,00004540,00100440,00000000,00008000,0.054668
200074209010010,210.30674146621,-61.469239867577,STAR,0.462,,,,,,,311.16548514607916,0.28184839916849064,G311.1654+00.2818,210.306742,-61.469259,0.3,0.3,90.0,11.984,11.964,11.918,,0.049,0.077,0.136,,C,4.518,0.2043,2.945,0.2079,1.966,0.2455,,,00100000,00004000,00000000,,0.068967
200074216010013,211.37321877974,-62.009196363145,QSO,0.675,,,,,,,311.5026710479235,-0.3760413332118721,G311.5026-00.3760,211.373176,-62.009203,0.3,0.3,90.0,13.406,13.46,,,0.099,0.154,,,C,1.22,0.1112,0.7419,0.1049,,,,,00010000,00000000,,,0.075921
200074250010002,211.24608860504,-61.215323408256,QSO,0.51,,,STAR,1.0,,,311.6682841874021,0.40271381888661395,G311.6682+00.4027,211.246108,-61.215326,0.3,0.3,90.0,12.981,12.72,12.215,,0.103,0.128,0.23,,C,1.803,0.1705,1.467,0.1734,1.495,0.3167,,,00100040,00000000,00002400,,0.034937
200879402010021,206.588253639134,-62.8149024000397,QSO,0.448,,,,,,,309.1568868216211,-0.608754687012829,G309.1568-00.6087,206.588257,-62.814923,0.3,0.3,90.0,13.11,13.155,12.73,11.998,0.089,0.145,0.277,0.241,C,1.601,0.1314,0.9833,0.1311,0.93,0.2372,1.018,0.2259,00004000,00004000,00000000,00000200,0.074547
200936705010041,258.572078716152,-39.8951636403601,GALAXY,0.774,,,,,,,347.30782283673386,-0.6651845256027018,G347.3078-00.6651,258.572052,-39.895157,0.3,0.3,90.0,9.16,9.178,9.109,9.039,0.036,0.041,0.04,0.034,C,60.91,2.016,38.3,1.44,26.12,0.9727,15.54,0.4864,00000200,00002000,00002000,00002000,0.077583
200986102010036,247.0059493696,-49.409614320175,GALAXY,0.43,,,,,,,334.7600924203788,-0.40659600107567134,G334.7600-00.4065,247.005918,-49.4096,0.3,0.3,90.0,13.777,13.712,,,0.076,0.212,,,C,0.8667,0.06101,0.5883,0.1149,,,,,00004000,00004004,,,0.089669
201094901010182,253.599147588694,-42.0285531662053,QSO,0.538,,,STAR,0.998,,,343.3332599350761,1.022588849241745,G343.3332+01.0226,253.599141,-42.028534,0.3,0.3,90.0,11.918,11.803,11.955,11.981,0.043,0.082,0.122,0.228,C,4.802,0.1914,3.414,0.2563,1.9,0.2141,1.035,0.2175,00000000,00000000,00000000,00000000,0.0711
201491802010019,243.23691745976,-52.456831972759,GALAXY,0.965,,,,,,,330.9288385476085,-0.8991987174168846,G330.9288-00.8992,243.236908,-52.456854,0.3,0.3,90.0,15.162,,,,0.17,,,,A,0.2419,0.03781,,,,,,,00001000,,,,0.081942
202010004015059,247.939999229365,-48.85290745775,QSO,0.562,,,,,,,335.5846114835749,-0.4669796737039866,G335.5845-00.4669,247.939998,-48.852933,0.3,0.3,90.0,13.522,13.542,,,0.097,0.173,,,C,1.096,0.09794,0.6884,0.1098,,,,,00000000,00002000,,,0.092182
202063802010013,250.010249905973,-46.533464869966,QSO,0.566,,,STAR,1.0,,,338.23712106424165,0.06650657318920612,G338.2371+00.0665,250.010257,-46.533441,0.3,0.3,90.0,8.325,8.471,8.352,8.331,0.049,0.054,0.04,0.031,C,131.4,5.972,73.45,3.645,52.48,1.949,29.84,0.84,00000000,00000000,00000000,00000000,0.087897
202063807015061,251.79697664747,-45.423091382448,GALAXY,0.723,,,,,,,339.88952131903727,-0.14310843504368065,G339.8895-00.1431,251.796992,-45.42308,0.3,0.3,90.0,10.578,10.932,10.356,10.374,0.081,0.164,0.052,0.061,C,16.49,1.234,7.615,1.15,8.281,0.3956,4.544,0.2563,00004440,00084480,00008000,00000000,0.056621
202070502010064,228.489276397935,-59.0059058584676,GALAXY,0.947,,,,,,,320.39147594206116,-1.0528160577234489,G320.3914-01.0528,228.489312,-59.005899,0.3,0.3,90.0,14.112,14.096,,,0.105,0.193,,,C,0.6362,0.06147,0.4133,0.07351,,,,,00000000,00000000,,,0.070412
203023401010001,196.15104406249,-63.284153471706,GALAXY,0.696,,,,,,,304.41109750967007,-0.4502261074590843,G304.4110-00.4502,196.150988,-63.28415,0.3,0.3,90.0,12.53,12.176,11.893,11.944,0.051,0.06,0.082,0.078,C,2.732,0.1292,2.422,0.1345,2.011,0.1523,1.07,0.07662,00000000,00006000,00002000,00002000,0.091425
203031001010004,249.81032202108,-47.005857023904,STAR,0.5,,,,,,,337.79325718887463,-0.1453680291201017,G337.7932-00.1453,249.810337,-47.005844,0.3,0.3,90.0,11.773,11.771,11.634,11.514,0.027,0.05,0.075,0.236,C,5.487,0.1379,3.516,0.1608,2.553,0.1752,1.59,0.3456,00000200,00000000,00000600,00008400,0.059696
203034401010002,195.24994192824,-63.20417877934,QSO,0.681,,,,,,,304.0093471138937,-0.35243618602545507,G304.0093-00.3524,195.24997,-63.204198,0.3,0.3,90.0,14.927,,,,0.139,,,,A,0.3005,0.03836,,,,,,,00001000,,,,0.082818
203071702010016,249.60420941601,-47.455657957321,GALAXY,0.389,,,,,,,337.3647533089172,-0.34106470332813776,G337.3647-00.3410,249.604241,-47.455663,0.3,0.3,90.0,6.601,6.196,6.019,5.519,0.07,0.049,0.032,0.026,C,643.2,41.26,597.2,26.86,449.7,13.1,397.6,9.545,00004480,00004080,00008000,00008000,0.078717
204032802010008,246.593956191967,-49.0467399001236,QSO,0.571,,,STAR,1.0,,,334.8343114471133,0.03900105478311788,G334.8342+00.0390,246.593926,-49.046746,0.3,0.3,90.0,9.651,9.602,9.549,9.387,0.052,0.063,0.05,0.049,C,38.74,1.86,25.92,1.493,17.43,0.8106,11.28,0.5084,00004240,00000000,00000000,00000400,0.074671
204043401010009,251.784942101336,-45.8459778546135,GALAXY,0.549,,,,,,,339.56169229735616,-0.4103809795974558,G339.5616-00.4103,251.784917,-45.845989,0.3,0.3,90.0,7.452,,6.706,6.205,0.068,,0.039,0.06,A,293.7,18.29,,,239.0,8.551,211.5,11.59,00080200,,00008200,00088400,0.07438
204066501010007,243.761636490518,-51.6338511483614,STAR,0.601,,,STAR,1.0,,,331.7293964721353,-0.5241733639243918,G331.7293-00.5241,243.761646,-51.633852,0.3,0.3,90.0,10.184,10.21,10.116,10.103,0.039,0.063,0.053,0.048,C,23.72,0.8578,14.81,0.8629,10.34,0.5048,5.831,0.2582,00000000,00002000,00002200,0000a000,0.021543
204066501010014,243.704661112522,-51.7800077354183,QSO,0.573,,,STAR,1.0,,,331.6029365906159,-0.6055230097021979,G331.6029-00.6055,243.70463,-51.779999,0.3,0.3,90.0,11.009,10.999,10.809,11.046,0.066,0.081,0.082,0.082,C,11.09,0.679,7.16,0.5349,5.461,0.4127,2.447,0.1838,00000000,00000000,00000200,00000400,0.076278
204067502010003,245.23839500905,-49.539590832119,STAR,0.795,,,STAR,1.0,,,333.8623553326049,0.3214369923375702,G333.8623+00.3214,245.238393,-49.539586,0.3,0.3,90.0,10.049,10.026,9.928,9.885,0.045,0.045,0.046,0.045,C,26.86,1.122,17.55,0.7228,12.29,0.5221,7.127,0.2945,00000140,00000140,00000000,00008000,0.018158
205003001010017,240.14789212181,-51.589424687564,QSO,0.498,,,STAR,0.702,,,330.09880515757004,1.0179959729226784,G330.0988+01.0179,240.147927,-51.589434,0.3,0.3,90.0,12.217,12.004,12.158,,0.046,0.094,0.123,,C,3.647,0.1538,2.837,0.2448,1.576,0.1783,,,00004000,00000000,00000400,,0.085042
205049901010011,216.89817407112,-61.02730519475,STAR,0.822,,,,,,,314.31231198159236,-0.29813204186433623,G314.3123-00.2981,216.898187,-61.027331,0.3,0.3,90.0,12.727,12.749,12.246,,0.067,0.1,0.28,,A,2.279,0.1415,1.428,0.131,1.453,0.3745,,,00004000,00084000,00002000,,0.095545
205049901010014,216.89731251398,-60.869693660733,STAR,0.466,,,,,,,314.3690624708466,-0.1510912178801147,G314.3690-00.1511,216.897292,-60.869719,0.3,0.3,90.0,13.39,13.351,,,0.089,0.136,,,C,1.237,0.1014,0.8209,0.103,,,,,00000000,00000000,,,0.09821
205110105010011,223.37883246637,-59.698381440342,QSO,0.546,,,STAR,0.998,,,317.77854560488663,-0.392731706484139,G317.7785-00.3927,223.378798,-59.698374,0.3,0.3,90.0,14.325,14.247,,,0.117,0.269,,,A,0.5232,0.05638,0.3595,0.08895,,,,,00002000,00002000,,,0.068034
205121801010206,251.87960958552,-45.332128311966,GALAXY,0.765,,,STAR,1.0,,,339.9964392378512,-0.12854818191004927,G339.9964-00.1285,251.879627,-45.33213,0.3,0.3,90.0,8.058,8.12,7.707,7.819,0.038,0.045,0.034,0.026,C,168.0,5.913,101.6,4.173,95.03,2.998,47.81,1.148,00000040,00000000,0000a200,00008000,0.044441
205121801010276,251.73654821809,-45.271336217062,GALAXY,0.644,,,,,,,339.97768207728495,-0.012490696701711799,G339.9776-00.0125,251.736577,-45.271344,0.3,0.3,90.0,13.45,13.368,,,0.11,0.23,,,C,1.171,0.1191,0.8078,0.1709,,,,,00002440,00002600,,,0.078128
205556601010039,243.26222562288,-52.078116794002,QSO,0.652,,,STAR,0.997,,,331.19982567187094,-0.6341622735239487,G331.1998-00.6341,243.262217,-52.078124,0.3,0.3,90.0,11.435,11.437,11.224,,0.039,0.084,0.088,,C,7.489,0.2681,4.785,0.3706,3.725,0.3018,,,00000200,00000200,00000200,,0.032278
205601811010033,237.84200935671,-54.302404208874,GALAXY,0.675,,,,,,,327.29251131612637,-0.1710537524143672,G327.2925-00.1710,237.842045,-54.302386,0.3,0.3,90.0,12.229,12.269,,,0.073,0.111,,,C,3.606,0.2417,2.223,0.2277,,,,,00000200,00000000,,,0.099515
206000801010003,259.67676177776,-38.746209054636,STAR,0.909,,,STAR,1.0,,,348.73951027653203,-0.6953065070696597,G348.7394-00.6953,259.67675,-38.746235,0.3,0.3,90.0,9.074,9.147,9.127,9.028,0.036,0.045,0.035,0.024,C,65.91,2.158,39.42,1.628,25.7,0.8359,15.7,0.3464,00000400,00000000,00000000,00000000,0.09918
206020201010121,253.71207364021,-41.159294126391,GALAXY,0.467,,,GALAXY,0.989,,,344.0620564943334,1.5041074549625078,G344.0620+01.5041,253.712055,-41.159307,0.3,0.3,90.0,13.48,13.434,,,0.061,0.118,,,C,1.139,0.0644,0.7601,0.08227,,,,,00000000,00000000,,,0.06863
206541101010012,245.968473403483,-49.9516850732032,STAR,0.466,,,STAR,1.0,,,333.90342580092556,-0.30361423966155204,G333.9034-00.3036,245.968476,-49.951676,0.3,0.3,90.0,11.754,11.535,11.365,,0.089,0.116,0.078,,C,5.583,0.4577,4.369,0.4686,3.272,0.235,,,00100400,00106000,00002601,,0.033198
206915501010098,200.4376876161,-63.339197434899,GALAXY,0.703,,,,,,,306.3246326137211,-0.6673056791504736,G306.3246-00.6673,200.437651,-63.33921,0.3,0.3,90.0,13.649,13.37,12.655,,0.111,0.122,0.153,,C,0.9752,0.09984,0.8061,0.0907,0.9966,0.1403,,,00000000,00000000,00000000,,0.074639
207245601010016,246.89165275313,-48.971142095535,GALAXY,0.732,,,,,,,335.02438822917065,-0.04884378977149207,G335.0243-00.0488,246.891652,-48.971148,0.3,0.3,90.0,13.907,13.67,,,0.095,0.192,,,C,0.7687,0.06709,0.6116,0.1082,,,,,00000040,00002400,,,0.021361
207420501010218,240.10229530325,-51.670085570962,GALAXY,0.533,,,STAR,1.0,,,330.02464118581,0.9754677185887286,G330.0246+00.9754,240.102302,-51.670095,0.3,0.3,90.0,11.581,11.622,11.569,,0.069,0.067,0.122,,C,6.549,0.4155,4.033,0.2487,2.711,0.3035,,,00000000,00000000,00000200,,0.03705
207421101010023,207.14993079526,-62.248073309066,GALAXY,0.521,,,STAR,1.0,,,309.5320146572709,-0.11106395802804431,G309.5320-00.1110,207.149922,-62.248088,0.3,0.3,90.0,11.102,11.067,10.743,10.795,0.05,0.065,0.073,0.067,C,10.18,0.4641,6.723,0.4026,5.8,0.3915,3.083,0.1894,00000040,00000000,00000200,00000000,0.05496
207421101015090,206.99774322006,-62.159505370103,STAR,0.375,,,,,,,309.48211608085654,-0.00912746048348847,G309.4821-00.0091,206.997722,-62.1595,0.3,0.3,90.0,9.65,9.676,9.535,9.507,0.046,0.058,0.049,0.04,C,38.78,1.652,24.22,1.298,17.65,0.7932,10.1,0.3764,00000140,00000040,00000000,00008000,0.040705
207422702010122,247.80682884134,-48.728098414486,STAR,0.527,,,,,,,335.61558111911637,-0.31759574965359716,G335.6155-00.3175,247.8068,-48.728109,0.3,0.3,90.0,14.38,13.991,,,0.126,0.272,,,A,0.4972,0.05788,0.455,0.1141,,,,,00000400,00000200,,,0.078612
207430301015016,258.769480954239,-39.9145087625207,QSO,0.599,,,STAR,1.0,,,347.3805231798455,-0.799425434854021,G347.3805-00.7994,258.769482,-39.914525,0.3,0.3,90.0,9.809,9.787,9.695,9.753,0.05,0.044,0.052,0.032,C,33.49,1.554,21.86,0.877,15.23,0.7334,8.054,0.2347,00002000,00006000,00002000,00002000,0.058628
208028901010004,187.08522250852,-63.501541823386,STAR,0.938,,,STAR,1.0,,,300.35888038686596,-0.745243594249046,G300.3588-00.7452,187.08526,-63.501527,0.3,0.3,90.0,9.874,9.782,9.686,9.692,0.049,0.056,0.049,0.035,C,31.54,1.409,21.96,1.133,15.36,0.6911,8.513,0.2739,00000000,00004000,00000000,00000000,0.080475
208042402010032,178.81419049941,-62.845329516446,STAR,0.584,,,STAR,1.0,,,296.5722618211772,-0.6693532291443747,G296.5722-00.6693,178.814151,-62.84535,0.3,0.3,90.0,10.335,10.281,10.189,10.202,0.039,0.051,0.053,0.045,C,20.64,0.7383,13.88,0.6477,9.658,0.4671,5.326,0.2184,00000000,00004000,00000000,00000000,0.098252
